Date : 2026-01-15 13:19:53
Directory : c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次
Total : 81 files,  22527 codes, 15997 comments, 5634 blanks, all 44158 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         36 |     10,845 |      5,930 |      3,053 |     19,828 |
| C        |         34 |      8,642 |     10,066 |      2,219 |     20,927 |
| ARM      |          8 |      2,397 |          0 |        264 |      2,661 |
| HTML     |          2 |        618 |          0 |         96 |        714 |
| Batch    |          1 |         25 |          1 |          2 |         28 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |         81 |     22,527 |     15,997 |      5,634 |     44,158 |
| . (Files)                                                                    |          1 |         25 |          1 |          2 |         28 |
| Hardware                                                                     |         13 |        424 |        350 |        103 |        877 |
| Library                                                                      |         46 |     11,233 |     12,816 |      3,330 |     27,379 |
| Objects                                                                      |          2 |        618 |          0 |         96 |        714 |
| Start                                                                        |         13 |     10,093 |      2,648 |      2,055 |     14,796 |
| System                                                                       |          2 |         29 |         15 |          7 |         51 |
| User                                                                         |          4 |        105 |        167 |         41 |        313 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                     | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\Buzzer.c               | C        |         30 |          0 |          7 |         37 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\Buzzer.h               | C++      |          7 |          0 |          3 |         10 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\CountSensor.c          | C        |         41 |          0 |         10 |         51 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\CountSensor.h          | C++      |          5 |          0 |          3 |          8 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\Key.c                  | C        |         30 |          0 |          5 |         35 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\Key.h                  | C++      |          5 |          0 |          3 |          8 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\LED.c                  | C        |         49 |          0 |         10 |         59 |
| c:\Users\吴迪垒\Desktop\stm32project\对射式红外传感器计次\Hardware\LED.h                  | C++      |         10 |          0 |          3 |         13 |
